mensagem,categoria,sinonimo,idioma,continente,pais,estado,cidade,latitude,longitude,impacto
"Alerta: seca em Ahmedabad, Índia.",seca,seca,pt,Ásia,Índia,Gujarat,Ahmedabad,23.02251,72.57136,moderado
"Alerta: seca em Tóquio, Japão.",seca,seca,pt,Ásia,Japão,Tóquio,Tóquio,35.68949,139.69171,alto
"Alerta: seca em Jacarta, Indonésia.",seca,seca,pt,Ásia,Indonésia,Oeste de Java,Jacarta,-6.20876,106.8456,baixo
"Alerta: seca em Manila, Filipinas.",seca,seca,pt,Ásia,Filipinas,Luzon,Manila,14.59951,120.98422,baixo
"Alerta: seca em Kathmandu, Nepal.",seca,seca,pt,Ásia,Nepal,Bagmati,Kathmandu,27.71725,85.32396,catastrófico
"Alerta: seca em Lagos, Nigéria.",seca,seca,pt,África,Nigéria,Lagos,Lagos,6.52438,3.37921,alto
"Alerta: seca em Niamey, Níger.",seca,seca,pt,África,Níger,Niamey,Niamey,13.51253,2.11265,catastrófico
"Alerta: seca em Nairobi, Quênia.",seca,seca,pt,África,Quênia,Nairobi,Nairobi,-1.29207,36.82193,moderado
"Alerta: seca em Pretória, África do Sul.",seca,seca,pt,África,África do Sul,Gauteng,Pretória,-25.74787,28.22927,alto
"Alerta: seca em Piton de la Fournaise, Indonésia.",seca,seca,pt,África,Indonésia,Reunião,Piton de la Fournaise,-21.2448,55.70889,alto
"Alerta: seca em Sydney, Austrália.",seca,seca,pt,Oceania,Austrália,Nova Gales do Sul,Sydney,-33.86882,151.2093,moderado
"Alerta: seca em Brisbane, Austrália.",seca,seca,pt,Oceania,Austrália,Colúmbia Britânica,Brisbane,-27.46977,153.02513,alto
"Alerta: seca em Suva, Fiji.",seca,seca,pt,Oceania,Fiji,Central,Suva,-18.1248,178.4501,catastrófico
"Alerta: seca em Wellington, Nova Zelândia.",seca,seca,pt,Oceania,Nova Zelândia,Wellington,Wellington,-41.28646,174.77623,alto
"Alerta: seca em Manado, Indonésia.",seca,seca,pt,Oceania,Indonésia,Sulawesi do Norte,Manado,1.4748,124.8428,catastrófico
"Alerta: estiaje em São Paulo, Brasil.",seca,estiaje,pt,América do Sul,Brasil,São Paulo,São Paulo,-23.55052,-46.63331,moderado
"Alerta: estiaje em Recife, Brasil.",seca,estiaje,pt,América do Sul,Brasil,Pernambuco,Recife,-8.04756,-34.877,alto
"Alerta: estiaje em Barranquilla, Colômbia.",seca,estiaje,pt,América do Sul,Colômbia,Atlántico,Barranquilla,10.96854,-74.78132,baixo
"Alerta: estiaje em Buenos Aires, Argentina.",seca,estiaje,pt,América do Sul,Argentina,Buenos Aires,Buenos Aires,-34.60372,-58.38159,catastrófico
"Alerta: estiaje em Santiago, Chile.",seca,estiaje,pt,América do Sul,Chile,Região Metropolitana,Santiago,-33.44889,-70.66927,alto
"Alerta: estiaje em Los Angeles, Estados Unidos.",seca,estiaje,pt,América do Norte,Estados Unidos,Califórnia,Los Angeles,34.05223,-118.24368,catastrófico
"Alerta: estiaje em Phoenix, Estados Unidos.",seca,estiaje,pt,América do Norte,Estados Unidos,Arizona,Phoenix,33.44838,-112.07404,moderado
"Alerta: estiaje em Monterrey, México.",seca,estiaje,pt,América do Norte,México,Nuevo León,Monterrey,25.68661,-100.31612,catastrófico
"Alerta: estiaje em Toronto, Canadá.",seca,estiaje,pt,América do Norte,Canadá,Ontário,Toronto,43.65107,-79.347015,alto
"Alerta: estiaje em Houston, Estados Unidos.",seca,estiaje,pt,América do Norte,Estados Unidos,Texas,Houston,29.76043,-95.3698,catastrófico
"Alerta: estiaje em Marselha, França.",seca,estiaje,pt,Europa,França,Provence-Alpes-Côte d'Azur,Marselha,43.29648,5.36978,baixo
"Alerta: estiaje em Nice, França.",seca,estiaje,pt,Europa,França,Provence-Alpes-Côte d'Azur,Nice,43.71017,7.26195,moderado
"Alerta: estiaje em Saint-Denis, Reunião.",seca,estiaje,pt,Europa,Reunião,Reunião,Saint-Denis,-20.87891,55.44813,baixo
"Alerta: estiaje em La Palma (Cumbre Vieja), Espanha.",seca,estiaje,pt,Europa,Espanha,Ilhas Canárias,La Palma (Cumbre Vieja),28.57,-17.84,catastrófico
"Alerta: estiaje em Londres, Reino Unido.",seca,estiaje,pt,Europa,Reino Unido,Inglaterra,Londres,51.50735,-0.127758,baixo
"Alerta: estiaje em Ahmedabad, Índia.",seca,estiaje,pt,Ásia,Índia,Gujarat,Ahmedabad,23.02251,72.57136,alto
"Alerta: estiaje em Tóquio, Japão.",seca,estiaje,pt,Ásia,Japão,Tóquio,Tóquio,35.68949,139.69171,alto
"Alerta: estiaje em Jacarta, Indonésia.",seca,estiaje,pt,Ásia,Indonésia,Oeste de Java,Jacarta,-6.20876,106.8456,alto
"Alerta: estiaje em Manila, Filipinas.",seca,estiaje,pt,Ásia,Filipinas,Luzon,Manila,14.59951,120.98422,moderado
"Alerta: estiaje em Kathmandu, Nepal.",seca,estiaje,pt,Ásia,Nepal,Bagmati,Kathmandu,27.71725,85.32396,moderado
"Alerta: estiaje em Lagos, Nigéria.",seca,estiaje,pt,África,Nigéria,Lagos,Lagos,6.52438,3.37921,moderado
"Alerta: estiaje em Niamey, Níger.",seca,estiaje,pt,África,Níger,Niamey,Niamey,13.51253,2.11265,alto
"Alerta: estiaje em Nairobi, Quênia.",seca,estiaje,pt,África,Quênia,Nairobi,Nairobi,-1.29207,36.82193,catastrófico
"Alerta: estiaje em Pretória, África do Sul.",seca,estiaje,pt,África,África do Sul,Gauteng,Pretória,-25.74787,28.22927,alto
"Alerta: estiaje em Piton de la Fournaise, Indonésia.",seca,estiaje,pt,África,Indonésia,Reunião,Piton de la Fournaise,-21.2448,55.70889,catastrófico
"Alerta: estiaje em Sydney, Austrália.",seca,estiaje,pt,Oceania,Austrália,Nova Gales do Sul,Sydney,-33.86882,151.2093,catastrófico
"Alerta: estiaje em Brisbane, Austrália.",seca,estiaje,pt,Oceania,Austrália,Colúmbia Britânica,Brisbane,-27.46977,153.02513,baixo
"Alerta: estiaje em Suva, Fiji.",seca,estiaje,pt,Oceania,Fiji,Central,Suva,-18.1248,178.4501,catastrófico
"Alerta: estiaje em Wellington, Nova Zelândia.",seca,estiaje,pt,Oceania,Nova Zelândia,Wellington,Wellington,-41.28646,174.77623,alto
"Alerta: estiaje em Manado, Indonésia.",seca,estiaje,pt,Oceania,Indonésia,Sulawesi do Norte,Manado,1.4748,124.8428,moderado
"Alerta: escassez em São Paulo, Brasil.",seca,escassez,pt,América do Sul,Brasil,São Paulo,São Paulo,-23.55052,-46.63331,catastrófico
"Alerta: escassez em Recife, Brasil.",seca,escassez,pt,América do Sul,Brasil,Pernambuco,Recife,-8.04756,-34.877,baixo
"Alerta: escassez em Barranquilla, Colômbia.",seca,escassez,pt,América do Sul,Colômbia,Atlántico,Barranquilla,10.96854,-74.78132,moderado
"Alerta: escassez em Buenos Aires, Argentina.",seca,escassez,pt,América do Sul,Argentina,Buenos Aires,Buenos Aires,-34.60372,-58.38159,catastrófico
"Alerta: escassez em Santiago, Chile.",seca,escassez,pt,América do Sul,Chile,Região Metropolitana,Santiago,-33.44889,-70.66927,alto
"Alerta: escassez em Los Angeles, Estados Unidos.",seca,escassez,pt,América do Norte,Estados Unidos,Califórnia,Los Angeles,34.05223,-118.24368,alto
"Alerta: escassez em Phoenix, Estados Unidos.",seca,escassez,pt,América do Norte,Estados Unidos,Arizona,Phoenix,33.44838,-112.07404,catastrófico
"Alerta: escassez em Monterrey, México.",seca,escassez,pt,América do Norte,México,Nuevo León,Monterrey,25.68661,-100.31612,baixo
"Alerta: escassez em Toronto, Canadá.",seca,escassez,pt,América do Norte,Canadá,Ontário,Toronto,43.65107,-79.347015,moderado
"Alerta: escassez em Houston, Estados Unidos.",seca,escassez,pt,América do Norte,Estados Unidos,Texas,Houston,29.76043,-95.3698,moderado
"Alerta: escassez em Marselha, França.",seca,escassez,pt,Europa,França,Provence-Alpes-Côte d'Azur,Marselha,43.29648,5.36978,alto
"Alerta: escassez em Nice, França.",seca,escassez,pt,Europa,França,Provence-Alpes-Côte d'Azur,Nice,43.71017,7.26195,catastrófico
"Alerta: escassez em Saint-Denis, Reunião.",seca,escassez,pt,Europa,Reunião,Reunião,Saint-Denis,-20.87891,55.44813,baixo
"Alerta: escassez em La Palma (Cumbre Vieja), Espanha.",seca,escassez,pt,Europa,Espanha,Ilhas Canárias,La Palma (Cumbre Vieja),28.57,-17.84,alto
"Alerta: escassez em Londres, Reino Unido.",seca,escassez,pt,Europa,Reino Unido,Inglaterra,Londres,51.50735,-0.127758,baixo
"Alerta: escassez em Ahmedabad, Índia.",seca,escassez,pt,Ásia,Índia,Gujarat,Ahmedabad,23.02251,72.57136,alto
"Alerta: escassez em Tóquio, Japão.",seca,escassez,pt,Ásia,Japão,Tóquio,Tóquio,35.68949,139.69171,baixo
"Alerta: escassez em Jacarta, Indonésia.",seca,escassez,pt,Ásia,Indonésia,Oeste de Java,Jacarta,-6.20876,106.8456,moderado
"Alerta: escassez em Manila, Filipinas.",seca,escassez,pt,Ásia,Filipinas,Luzon,Manila,14.59951,120.98422,baixo
"Alerta: escassez em Kathmandu, Nepal.",seca,escassez,pt,Ásia,Nepal,Bagmati,Kathmandu,27.71725,85.32396,catastrófico
"Alerta: escassez em Lagos, Nigéria.",seca,escassez,pt,África,Nigéria,Lagos,Lagos,6.52438,3.37921,baixo
"Alerta: escassez em Niamey, Níger.",seca,escassez,pt,África,Níger,Niamey,Niamey,13.51253,2.11265,catastrófico
"Alerta: escassez em Nairobi, Quênia.",seca,escassez,pt,África,Quênia,Nairobi,Nairobi,-1.29207,36.82193,catastrófico
"Alerta: escassez em Pretória, África do Sul.",seca,escassez,pt,África,África do Sul,Gauteng,Pretória,-25.74787,28.22927,moderado
"Alerta: escassez em Piton de la Fournaise, Indonésia.",seca,escassez,pt,África,Indonésia,Reunião,Piton de la Fournaise,-21.2448,55.70889,moderado
"Alerta: escassez em Sydney, Austrália.",seca,escassez,pt,Oceania,Austrália,Nova Gales do Sul,Sydney,-33.86882,151.2093,baixo
"Alerta: escassez em Brisbane, Austrália.",seca,escassez,pt,Oceania,Austrália,Colúmbia Britânica,Brisbane,-27.46977,153.02513,baixo
"Alerta: escassez em Suva, Fiji.",seca,escassez,pt,Oceania,Fiji,Central,Suva,-18.1248,178.4501,moderado
"Alerta: escassez em Wellington, Nova Zelândia.",seca,escassez,pt,Oceania,Nova Zelândia,Wellington,Wellington,-41.28646,174.77623,catastrófico
"Alerta: escassez em Manado, Indonésia.",seca,escassez,pt,Oceania,Indonésia,Sulawesi do Norte,Manado,1.4748,124.8428,alto
"Alerta: aridez em São Paulo, Brasil.",seca,aridez,pt,América do Sul,Brasil,São Paulo,São Paulo,-23.55052,-46.63331,alto
"Alerta: aridez em Recife, Brasil.",seca,aridez,pt,América do Sul,Brasil,Pernambuco,Recife,-8.04756,-34.877,baixo
"Alerta: aridez em Barranquilla, Colômbia.",seca,aridez,pt,América do Sul,Colômbia,Atlántico,Barranquilla,10.96854,-74.78132,catastrófico
"Alerta: aridez em Buenos Aires, Argentina.",seca,aridez,pt,América do Sul,Argentina,Buenos Aires,Buenos Aires,-34.60372,-58.38159,catastrófico
"Alerta: aridez em Santiago, Chile.",seca,aridez,pt,América do Sul,Chile,Região Metropolitana,Santiago,-33.44889,-70.66927,alto
"Alerta: aridez em Los Angeles, Estados Unidos.",seca,aridez,pt,América do Norte,Estados Unidos,Califórnia,Los Angeles,34.05223,-118.24368,baixo
"Alerta: aridez em Phoenix, Estados Unidos.",seca,aridez,pt,América do Norte,Estados Unidos,Arizona,Phoenix,33.44838,-112.07404,alto
"Alerta: aridez em Monterrey, México.",seca,aridez,pt,América do Norte,México,Nuevo León,Monterrey,25.68661,-100.31612,catastrófico
"Alerta: aridez em Toronto, Canadá.",seca,aridez,pt,América do Norte,Canadá,Ontário,Toronto,43.65107,-79.347015,moderado
"Alerta: aridez em Houston, Estados Unidos.",seca,aridez,pt,América do Norte,Estados Unidos,Texas,Houston,29.76043,-95.3698,baixo
"Alerta: aridez em Marselha, França.",seca,aridez,pt,Europa,França,Provence-Alpes-Côte d'Azur,Marselha,43.29648,5.36978,baixo
"Alerta: aridez em Nice, França.",seca,aridez,pt,Europa,França,Provence-Alpes-Côte d'Azur,Nice,43.71017,7.26195,baixo
"Alerta: aridez em Saint-Denis, Reunião.",seca,aridez,pt,Europa,Reunião,Reunião,Saint-Denis,-20.87891,55.44813,alto
"Alerta: aridez em La Palma (Cumbre Vieja), Espanha.",seca,aridez,pt,Europa,Espanha,Ilhas Canárias,La Palma (Cumbre Vieja),28.57,-17.84,moderado
"Alerta: aridez em Londres, Reino Unido.",seca,aridez,pt,Europa,Reino Unido,Inglaterra,Londres,51.50735,-0.127758,catastrófico
"Alerta: aridez em Ahmedabad, Índia.",seca,aridez,pt,Ásia,Índia,Gujarat,Ahmedabad,23.02251,72.57136,alto
"Alerta: aridez em Tóquio, Japão.",seca,aridez,pt,Ásia,Japão,Tóquio,Tóquio,35.68949,139.69171,baixo
"Alerta: aridez em Jacarta, Indonésia.",seca,aridez,pt,Ásia,Indonésia,Oeste de Java,Jacarta,-6.20876,106.8456,catastrófico
"Alerta: aridez em Manila, Filipinas.",seca,aridez,pt,Ásia,Filipinas,Luzon,Manila,14.59951,120.98422,baixo
"Alerta: aridez em Kathmandu, Nepal.",seca,aridez,pt,Ásia,Nepal,Bagmati,Kathmandu,27.71725,85.32396,alto
"Alerta: aridez em Lagos, Nigéria.",seca,aridez,pt,África,Nigéria,Lagos,Lagos,6.52438,3.37921,catastrófico
"Alerta: aridez em Niamey, Níger.",seca,aridez,pt,África,Níger,Niamey,Niamey,13.51253,2.11265,moderado
"Alerta: aridez em Nairobi, Quênia.",seca,aridez,pt,África,Quênia,Nairobi,Nairobi,-1.29207,36.82193,catastrófico
"Alerta: aridez em Pretória, África do Sul.",seca,aridez,pt,África,África do Sul,Gauteng,Pretória,-25.74787,28.22927,baixo
"Alerta: aridez em Piton de la Fournaise, Indonésia.",seca,aridez,pt,África,Indonésia,Reunião,Piton de la Fournaise,-21.2448,55.70889,moderado
"Alerta: aridez em Sydney, Austrália.",seca,aridez,pt,Oceania,Austrália,Nova Gales do Sul,Sydney,-33.86882,151.2093,moderado
"Alerta: aridez em Brisbane, Austrália.",seca,aridez,pt,Oceania,Austrália,Colúmbia Britânica,Brisbane,-27.46977,153.02513,moderado
"Alerta: aridez em Suva, Fiji.",seca,aridez,pt,Oceania,Fiji,Central,Suva,-18.1248,178.4501,alto
"Alerta: aridez em Wellington, Nova Zelândia.",seca,aridez,pt,Oceania,Nova Zelândia,Wellington,Wellington,-41.28646,174.77623,moderado
"Alerta: aridez em Manado, Indonésia.",seca,aridez,pt,Oceania,Indonésia,Sulawesi do Norte,Manado,1.4748,124.8428,catastrófico
"Alerta: estio em São Paulo, Brasil.",seca,estio,pt,América do Sul,Brasil,São Paulo,São Paulo,-23.55052,-46.63331,catastrófico
"Alerta: estio em Recife, Brasil.",seca,estio,pt,América do Sul,Brasil,Pernambuco,Recife,-8.04756,-34.877,catastrófico
"Alerta: estio em Barranquilla, Colômbia.",seca,estio,pt,América do Sul,Colômbia,Atlántico,Barranquilla,10.96854,-74.78132,baixo
"Alerta: estio em Buenos Aires, Argentina.",seca,estio,pt,América do Sul,Argentina,Buenos Aires,Buenos Aires,-34.60372,-58.38159,moderado
"Alerta: estio em Santiago, Chile.",seca,estio,pt,América do Sul,Chile,Região Metropolitana,Santiago,-33.44889,-70.66927,catastrófico
"Alerta: estio em Los Angeles, Estados Unidos.",seca,estio,pt,América do Norte,Estados Unidos,Califórnia,Los Angeles,34.05223,-118.24368,catastrófico
"Alerta: estio em Phoenix, Estados Unidos.",seca,estio,pt,América do Norte,Estados Unidos,Arizona,Phoenix,33.44838,-112.07404,alto
"Alerta: estio em Monterrey, México.",seca,estio,pt,América do Norte,México,Nuevo León,Monterrey,25.68661,-100.31612,alto
"Alerta: estio em Toronto, Canadá.",seca,estio,pt,América do Norte,Canadá,Ontário,Toronto,43.65107,-79.347015,baixo
"Alerta: estio em Houston, Estados Unidos.",seca,estio,pt,América do Norte,Estados Unidos,Texas,Houston,29.76043,-95.3698,catastrófico
"Alerta: estio em Marselha, França.",seca,estio,pt,Europa,França,Provence-Alpes-Côte d'Azur,Marselha,43.29648,5.36978,alto
"Alerta: estio em Nice, França.",seca,estio,pt,Europa,França,Provence-Alpes-Côte d'Azur,Nice,43.71017,7.26195,baixo
"Alerta: estio em Saint-Denis, Reunião.",seca,estio,pt,Europa,Reunião,Reunião,Saint-Denis,-20.87891,55.44813,baixo
"Alerta: estio em La Palma (Cumbre Vieja), Espanha.",seca,estio,pt,Europa,Espanha,Ilhas Canárias,La Palma (Cumbre Vieja),28.57,-17.84,baixo
"Alerta: estio em Londres, Reino Unido.",seca,estio,pt,Europa,Reino Unido,Inglaterra,Londres,51.50735,-0.127758,baixo
"Alerta: estio em Ahmedabad, Índia.",seca,estio,pt,Ásia,Índia,Gujarat,Ahmedabad,23.02251,72.57136,moderado
"Alerta: estio em Tóquio, Japão.",seca,estio,pt,Ásia,Japão,Tóquio,Tóquio,35.68949,139.69171,moderado
"Alerta: estio em Jacarta, Indonésia.",seca,estio,pt,Ásia,Indonésia,Oeste de Java,Jacarta,-6.20876,106.8456,baixo
"Alerta: estio em Manila, Filipinas.",seca,estio,pt,Ásia,Filipinas,Luzon,Manila,14.59951,120.98422,catastrófico
"Alerta: estio em Kathmandu, Nepal.",seca,estio,pt,Ásia,Nepal,Bagmati,Kathmandu,27.71725,85.32396,alto
"Alerta: estio em Lagos, Nigéria.",seca,estio,pt,África,Nigéria,Lagos,Lagos,6.52438,3.37921,baixo
"Alerta: estio em Niamey, Níger.",seca,estio,pt,África,Níger,Niamey,Niamey,13.51253,2.11265,baixo
"Alerta: estio em Nairobi, Quênia.",seca,estio,pt,África,Quênia,Nairobi,Nairobi,-1.29207,36.82193,catastrófico
"Alerta: estio em Pretória, África do Sul.",seca,estio,pt,África,África do Sul,Gauteng,Pretória,-25.74787,28.22927,alto
"Alerta: estio em Piton de la Fournaise, Indonésia.",seca,estio,pt,África,Indonésia,Reunião,Piton de la Fournaise,-21.2448,55.70889,moderado
"Alerta: estio em Sydney, Austrália.",seca,estio,pt,Oceania,Austrália,Nova Gales do Sul,Sydney,-33.86882,151.2093,alto
"Alerta: estio em Brisbane, Austrália.",seca,estio,pt,Oceania,Austrália,Colúmbia Britânica,Brisbane,-27.46977,153.02513,catastrófico
"Alerta: estio em Suva, Fiji.",seca,estio,pt,Oceania,Fiji,Central,Suva,-18.1248,178.4501,baixo
"Alerta: estio em Wellington, Nova Zelândia.",seca,estio,pt,Oceania,Nova Zelândia,Wellington,Wellington,-41.28646,174.77623,moderado
"Alerta: estio em Manado, Indonésia.",seca,estio,pt,Oceania,Indonésia,Sulawesi do Norte,Manado,1.4748,124.8428,catastrófico
"Alert: drought in São Paulo, Brasil.",seca,drought,en,América do Sul,Brasil,São Paulo,São Paulo,-23.55052,-46.63331,baixo
"Alert: drought in Recife, Brasil.",seca,drought,en,América do Sul,Brasil,Pernambuco,Recife,-8.04756,-34.877,moderado
"Alert: drought in Barranquilla, Colômbia.",seca,drought,en,América do Sul,Colômbia,Atlántico,Barranquilla,10.96854,-74.78132,alto
"Alert: drought in Buenos Aires, Argentina.",seca,drought,en,América do Sul,Argentina,Buenos Aires,Buenos Aires,-34.60372,-58.38159,baixo
"Alert: drought in Santiago, Chile.",seca,drought,en,América do Sul,Chile,Região Metropolitana,Santiago,-33.44889,-70.66927,moderado
"Alert: drought in Los Angeles, Estados Unidos.",seca,drought,en,América do Norte,Estados Unidos,Califórnia,Los Angeles,34.05223,-118.24368,alto
"Alert: drought in Phoenix, Estados Unidos.",seca,drought,en,América do Norte,Estados Unidos,Arizona,Phoenix,33.44838,-112.07404,alto
"Alert: drought in Monterrey, México.",seca,drought,en,América do Norte,México,Nuevo León,Monterrey,25.68661,-100.31612,baixo
"Alert: drought in Toronto, Canadá.",seca,drought,en,América do Norte,Canadá,Ontário,Toronto,43.65107,-79.347015,moderado
"Alert: drought in Houston, Estados Unidos.",seca,drought,en,América do Norte,Estados Unidos,Texas,Houston,29.76043,-95.3698,moderado
"Alert: drought in Marselha, França.",seca,drought,en,Europa,França,Provence-Alpes-Côte d'Azur,Marselha,43.29648,5.36978,moderado
"Alert: drought in Nice, França.",seca,drought,en,Europa,França,Provence-Alpes-Côte d'Azur,Nice,43.71017,7.26195,moderado
"Alert: drought in Saint-Denis, Reunião.",seca,drought,en,Europa,Reunião,Reunião,Saint-Denis,-20.87891,55.44813,baixo
"Alert: drought in La Palma (Cumbre Vieja), Espanha.",seca,drought,en,Europa,Espanha,Ilhas Canárias,La Palma (Cumbre Vieja),28.57,-17.84,alto
"Alert: drought in Londres, Reino Unido.",seca,drought,en,Europa,Reino Unido,Inglaterra,Londres,51.50735,-0.127758,alto
"Alert: drought in Ahmedabad, Índia.",seca,drought,en,Ásia,Índia,Gujarat,Ahmedabad,23.02251,72.57136,moderado
"Alert: drought in Tóquio, Japão.",seca,drought,en,Ásia,Japão,Tóquio,Tóquio,35.68949,139.69171,catastrófico
"Alert: drought in Jacarta, Indonésia.",seca,drought,en,Ásia,Indonésia,Oeste de Java,Jacarta,-6.20876,106.8456,baixo
"Alert: drought in Manila, Filipinas.",seca,drought,en,Ásia,Filipinas,Luzon,Manila,14.59951,120.98422,baixo
"Alert: drought in Kathmandu, Nepal.",seca,drought,en,Ásia,Nepal,Bagmati,Kathmandu,27.71725,85.32396,baixo
"Alert: drought in Lagos, Nigéria.",seca,drought,en,África,Nigéria,Lagos,Lagos,6.52438,3.37921,alto
"Alert: drought in Niamey, Níger.",seca,drought,en,África,Níger,Niamey,Niamey,13.51253,2.11265,baixo
"Alert: drought in Nairobi, Quênia.",seca,drought,en,África,Quênia,Nairobi,Nairobi,-1.29207,36.82193,catastrófico
"Alert: drought in Pretória, África do Sul.",seca,drought,en,África,África do Sul,Gauteng,Pretória,-25.74787,28.22927,alto
"Alert: drought in Piton de la Fournaise, Indonésia.",seca,drought,en,África,Indonésia,Reunião,Piton de la Fournaise,-21.2448,55.70889,alto
"Alert: drought in Sydney, Austrália.",seca,drought,en,Oceania,Austrália,Nova Gales do Sul,Sydney,-33.86882,151.2093,alto
"Alert: drought in Brisbane, Austrália.",seca,drought,en,Oceania,Austrália,Colúmbia Britânica,Brisbane,-27.46977,153.02513,alto
"Alert: drought in Suva, Fiji.",seca,drought,en,Oceania,Fiji,Central,Suva,-18.1248,178.4501,moderado
"Alert: drought in Wellington, Nova Zelândia.",seca,drought,en,Oceania,Nova Zelândia,Wellington,Wellington,-41.28646,174.77623,alto
"Alert: drought in Manado, Indonésia.",seca,drought,en,Oceania,Indonésia,Sulawesi do Norte,Manado,1.4748,124.8428,alto
"Alerta: dry spell em São Paulo, Brasil.",seca,dry spell,pt,América do Sul,Brasil,São Paulo,São Paulo,-23.55052,-46.63331,moderado
"Alerta: dry spell em Recife, Brasil.",seca,dry spell,pt,América do Sul,Brasil,Pernambuco,Recife,-8.04756,-34.877,moderado
"Alerta: dry spell em Barranquilla, Colômbia.",seca,dry spell,pt,América do Sul,Colômbia,Atlántico,Barranquilla,10.96854,-74.78132,baixo
"Alerta: dry spell em Buenos Aires, Argentina.",seca,dry spell,pt,América do Sul,Argentina,Buenos Aires,Buenos Aires,-34.60372,-58.38159,catastrófico
"Alerta: dry spell em Santiago, Chile.",seca,dry spell,pt,América do Sul,Chile,Região Metropolitana,Santiago,-33.44889,-70.66927,catastrófico
"Alerta: dry spell em Los Angeles, Estados Unidos.",seca,dry spell,pt,América do Norte,Estados Unidos,Califórnia,Los Angeles,34.05223,-118.24368,moderado
"Alerta: dry spell em Phoenix, Estados Unidos.",seca,dry spell,pt,América do Norte,Estados Unidos,Arizona,Phoenix,33.44838,-112.07404,moderado
"Alerta: dry spell em Monterrey, México.",seca,dry spell,pt,América do Norte,México,Nuevo León,Monterrey,25.68661,-100.31612,catastrófico
"Alerta: dry spell em Toronto, Canadá.",seca,dry spell,pt,América do Norte,Canadá,Ontário,Toronto,43.65107,-79.347015,moderado
"Alerta: dry spell em Houston, Estados Unidos.",seca,dry spell,pt,América do Norte,Estados Unidos,Texas,Houston,29.76043,-95.3698,alto
"Alerta: dry spell em Marselha, França.",seca,dry spell,pt,Europa,França,Provence-Alpes-Côte d'Azur,Marselha,43.29648,5.36978,baixo
"Alerta: dry spell em Nice, França.",seca,dry spell,pt,Europa,França,Provence-Alpes-Côte d'Azur,Nice,43.71017,7.26195,alto
"Alerta: dry spell em Saint-Denis, Reunião.",seca,dry spell,pt,Europa,Reunião,Reunião,Saint-Denis,-20.87891,55.44813,catastrófico
"Alerta: dry spell em La Palma (Cumbre Vieja), Espanha.",seca,dry spell,pt,Europa,Espanha,Ilhas Canárias,La Palma (Cumbre Vieja),28.57,-17.84,alto
"Alerta: dry spell em Londres, Reino Unido.",seca,dry spell,pt,Europa,Reino Unido,Inglaterra,Londres,51.50735,-0.127758,baixo
"Alerta: dry spell em Ahmedabad, Índia.",seca,dry spell,pt,Ásia,Índia,Gujarat,Ahmedabad,23.02251,72.57136,alto
"Alerta: dry spell em Tóquio, Japão.",seca,dry spell,pt,Ásia,Japão,Tóquio,Tóquio,35.68949,139.69171,catastrófico
"Alerta: dry spell em Jacarta, Indonésia.",seca,dry spell,pt,Ásia,Indonésia,Oeste de Java,Jacarta,-6.20876,106.8456,catastrófico
